symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00028000,-0.460,0.06086967,0.06086000,0.06057000,0.02300000,0.06057000,59.13190000,0.06058000,49.82730000,0.06085000,0.06133000,0.06048000,17329.28020000,1054.82755044,1695042082258,1695128482258,423106297,423138372,32076
LTCBTC,0.00002100,0.854,0.00247532,0.00245700,0.00247900,0.04500000,0.00247800,16.89300000,0.00247900,43.18100000,0.00245800,0.00251500,0.00244700,74252.23400000,183.79787844,1695042078799,1695128478799,93526910,93542516,15607
BNBBTC,-0.00000400,-0.050,0.00805820,0.00803900,0.00803400,0.03500000,0.00803300,17.19800000,0.00803400,5.25800000,0.00803800,0.00810000,0.00800600,24469.45600000,197.17983255,1695042083302,1695128483302,227175202,227203609,28408
NEOBTC,0.00000810,2.964,0.00027765,0.00027340,0.00028140,2.80000000,0.00028150,26.18000000,0.00028160,0.49000000,0.00027330,0.00028180,0.00027260,8793.02000000,2.44139392,1695042064133,1695128464133,45513953,45516201,2249
QTUMETH,0.00002700,2.029,0.00134443,0.00133800,0.00135800,12.50000000,0.00135700,44.80000000,0.00136000,200.00000000,0.00133100,0.00136100,0.00133100,178.40000000,0.23984710,1695042063324,1695128463324,5402142,5402172,31
EOSETH,0.00000430,1.234,0.00035017,0.00034960,0.00035280,14.90000000,0.00035200,697.90000000,0.00035320,2699.30000000,0.00034850,0.00035430,0.00034730,10592.40000000,3.70910368,1695042079133,1695128479133,23497986,23498124,139
SNTETH,0.00000007,0.513,0.00001371,0.00001345,0.00001372,193.00000000,0.00001372,4431.00000000,0.00001379,18002.00000000,0.00001365,0.00001383,0.00001346,511746.00000000,7.01841211,1695042063205,1695128463205,3906877,3906943,67
BNTETH,-0.00000480,-1.881,0.00025116,0.00025420,0.00025040,29.00000000,0.00025000,243.20000000,0.00025140,26.30000000,0.00025520,0.00025520,0.00024560,21617.80000000,5.42948190,1695042067794,1695128467794,2235134,2235236,103
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
GASBTC,0.00000490,5.402,0.00009316,0.00009080,0.00009560,4.00000000,0.00009540,45.40000000,0.00009560,4.70000000,0.00009070,0.00009570,0.00009030,64580.10000000,6.01634819,1695042085194,1695128485194,20804143,20807842,3700
BNBETH,0.00050000,0.379,0.13227434,0.13210000,0.13260000,0.10100000,0.13260000,6.90400000,0.13270000,13.78800000,0.13210000,0.13300000,0.13140000,6069.03500000,802.77757010,1695042082584,1695128482584,56299378,56305185,5808
BTCUSDT,-239.11000000,-0.873,27017.34358114,27376.30000000,27136.66000000,0.01582000,27136.66000000,8.55344000,27136.67000000,4.29365000,27375.77000000,27466.00000000,26631.00000000,37271.66746000,1006981445.60877970,1695042085488,1695128485488,3214732342,3215576024,843683
ETHUSDT,-21.78000000,-1.308,1644.88375349,1665.73000000,1643.84000000,6.45500000,1643.84000000,3.71450000,1643.85000000,62.24370000,1665.62000000,1667.84000000,1626.32000000,199353.68170000,327913632.22759400,1695042085586,1695128485586,1197963212,1198325448,362237
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
WTCBTC,0.00000000,0.000,0.00000576,0.00000573,0.00000572,481.00000000,0.00000572,41.00000000,0.00000573,15.00000000,0.00000572,0.00000585,0.00000567,146782.00000000,0.84551633,1695041431598,1695127831598,20184235,20187225,2991
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
LRCBTC,0.00000000,0.000,0.00000658,0.00000660,0.00000658,2338.00000000,0.00000657,7988.00000000,0.00000658,3000.00000000,0.00000658,0.00000662,0.00000654,181631.00000000,1.19565693,1695042085484,1695128485484,22104535,22105084,550
LRCETH,0.00000089,0.826,0.00010790,0.00010901,0.00010869,78.00000000,0.00010833,1022.00000000,0.00010906,2801.00000000,0.00010780,0.00010869,0.00010756,17575.00000000,1.89629341,1695042085631,1695128485631,4718538,4718559,22
QTUMBTC,0.00000100,1.233,0.00008191,0.00008120,0.00008210,8.90000000,0.00008220,131.80000000,0.00008240,90.60000000,0.00008110,0.00008270,0.00008090,2716.90000000,0.22255475,1695042084086,1695128484086,24072314,24072536,223
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
ZRXBTC,-0.00000006,-0.885,0.00000676,0.00000680,0.00000672,30.00000000,0.00000672,10722.00000000,0.00000673,15.00000000,0.00000678,0.00000685,0.00000670,83923.00000000,0.56759477,1695042042871,1695128442871,25390992,25392661,1670
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
